modules,host,guest,comments
kernel/fs/pstore/ramoops,y,n,
kernel/kernel/configs,n,n,
kernel/lib/crc_ccitt,y,n,
kernel/lib/crc16,y,y,
kernel/lib/libcrc32c,y,n,
kernel/lib/reed_solomon/reed_solomon,n,n,
kernel/net/802/p8022,n,n,
kernel/net/802/psnap,n,n,
kernel/net/802/stp,y,n,
kernel/net/8021q/8021q,y,n,
kernel/net/bridge/bridge,y,n,
kernel/net/bridge/netfilter/ebtables,y,n,
kernel/net/core/devlink,y,n,
kernel/net/ipv4/gre,y,n,
kernel/net/ipv4/ip_gre,y,n,
kernel/net/ipv4/ip_tunnel,y,n,
kernel/net/ipv4/netfilter/ip_tables,y,y,
kernel/net/ipv4/netfilter/ipt_MASQUERADE,y,n,
kernel/net/ipv4/netfilter/ipt_REJECT,y,n,
kernel/net/ipv4/netfilter/iptable_filter,y,n,
kernel/net/ipv4/netfilter/iptable_nat,y,n,
kernel/net/ipv4/netfilter/nf_conntrack_ipv4,y,n,
kernel/net/ipv4/netfilter/nf_defrag_ipv4,y,n,
kernel/net/ipv4/netfilter/nf_nat_ipv4,y,n,
kernel/net/ipv4/netfilter/nf_nat_masquerade_ipv4,y,n,
kernel/net/ipv4/netfilter/nf_reject_ipv4,y,n,
kernel/net/ipv4/udp_tunnel,y,n,
kernel/net/ipv6/ip6_gre,y,n,
kernel/net/ipv6/ip6_tunnel,y,n,
kernel/net/ipv6/ip6_udp_tunnel,y,n,
kernel/net/ipv6/ipv6,y,y,
kernel/net/ipv6/netfilter/ip6_tables,y,n,
kernel/net/ipv6/netfilter/ip6table_filter,y,n,
kernel/net/ipv6/netfilter/nf_conntrack_ipv6,y,n,
kernel/net/ipv6/netfilter/nf_defrag_ipv6,y,n,
kernel/net/ipv6/netfilter/nf_nat_ipv6,y,n,
kernel/net/ipv6/tunnel6,y,n,
kernel/net/llc/llc,y,n,
kernel/net/mpls/mpls_gso,n,n,
kernel/net/netfilter/nf_conntrack,y,n,
kernel/net/netfilter/nf_conntrack_netlink,y,n,
kernel/net/netfilter/nf_nat,y,n,
kernel/net/netfilter/nfnetlink,y,n,
kernel/net/netfilter/x_tables,y,y,
kernel/net/netfilter/xt_addrtype,y,n,
kernel/net/netfilter/xt_conntrack,y,n,
kernel/net/netfilter/xt_nat,y,n,
kernel/net/netfilter/xt_tcpudp,y,n,
kernel/net/nsh/nsh,y,n,
kernel/net/openvswitch/openvswitch,y,n,
kernel/net/openvswitch/vport_vxlan,y,n,
kernel/net/rfkill/rfkill,y,n,
kernel/net/sched/sch_fq_codel,y,n,
kernel/net/wireless/cfg80211,y,n,
kernel/net/xfrm/xfrm_algo,y,n,
kernel/net/xfrm/xfrm_user,y,n,
kernel/sound/core/snd_hwdep,y,n,
kernel/sound/core/snd_pcm,y,n,
kernel/sound/core/snd_timer,y,n,
kernel/sound/core/snd,y,n,
kernel/sound/hda/snd_hda_core,y,n,
kernel/sound/pci/hda/snd_hda_codec_cirrus,y,n,
kernel/sound/pci/hda/snd_hda_codec_generic,y,n,
kernel/sound/pci/hda/snd_hda_codec_hdmi,y,n,
kernel/sound/pci/hda/snd_hda_codec,y,n,
kernel/sound/pci/hda/snd_hda_intel,y,n,
kernel/sound/soundcore,y,n,
kernel/virt/lib/irqbypass,y,y,
